/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/dec.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
/home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/aelib/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
INFO:root:Iter:34000 metric:0.129444
INFO:root:Iter:35000 metric:0.128169
INFO:root:Iter:36000 metric:0.126819
INFO:root:Iter:37000 metric:0.125503
INFO:root:Iter:38000 metric:0.124302
INFO:root:Iter:39000 metric:0.123162
INFO:root:Iter:40000 metric:0.121992
INFO:root:Iter:41000 metric:0.120879
INFO:root:Iter:42000 metric:0.119832
INFO:root:Iter:43000 metric:0.118818
INFO:root:Iter:44000 metric:0.117822
INFO:root:Iter:45000 metric:0.116839
INFO:root:Iter:46000 metric:0.115898
INFO:root:Iter:47000 metric:0.115022
INFO:root:Iter:48000 metric:0.114138
INFO:root:Iter:49000 metric:0.113278
INFO:root:Pre-training layer 3...
INFO:root:Iter:0 metric:0.112387
INFO:root:Iter:1000 metric:0.035181
INFO:root:Iter:2000 metric:0.035111
INFO:root:Iter:3000 metric:0.035045
INFO:root:Iter:4000 metric:0.034968
INFO:root:Iter:5000 metric:0.034888
INFO:root:Iter:6000 metric:0.034794
INFO:root:Iter:7000 metric:0.034698
INFO:root:Iter:8000 metric:0.034584
INFO:root:Iter:9000 metric:0.034467
INFO:root:Iter:10000 metric:0.034329
INFO:root:Iter:11000 metric:0.034187
INFO:root:Iter:12000 metric:0.034029
INFO:root:Iter:13000 metric:0.033857
INFO:root:Iter:14000 metric:0.033671
INFO:root:Iter:15000 metric:0.033475
INFO:root:Iter:16000 metric:0.033266
INFO:root:Iter:17000 metric:0.033044
INFO:root:Iter:18000 metric:0.032811
INFO:root:Iter:19000 metric:0.032575
INFO:root:Iter:20000 metric:0.032328
INFO:root:Iter:21000 metric:0.032077
INFO:root:Iter:22000 metric:0.031819
INFO:root:Iter:23000 metric:0.031558
INFO:root:Iter:24000 metric:0.031295
INFO:root:Iter:25000 metric:0.031037
INFO:root:Iter:26000 metric:0.030772
INFO:root:Iter:27000 metric:0.030522
INFO:root:Iter:28000 metric:0.030269
INFO:root:Iter:29000 metric:0.030039
INFO:root:Iter:30000 metric:0.029815
INFO:root:Iter:31000 metric:0.029604
INFO:root:Iter:32000 metric:0.029409
INFO:root:Iter:33000 metric:0.029229
INFO:root:Iter:34000 metric:0.029059
INFO:root:Iter:35000 metric:0.028908
INFO:root:Iter:36000 metric:0.028770
INFO:root:Iter:37000 metric:0.028641
INFO:root:Iter:38000 metric:0.028527
INFO:root:Iter:39000 metric:0.028417
INFO:root:Iter:40000 metric:0.028320
INFO:root:Iter:41000 metric:0.028226
INFO:root:Iter:42000 metric:0.028141
INFO:root:Iter:43000 metric:0.028065
